id,class,long,lat,NDVI,NDWI,ONIR,ODVI,NDCI,PSRI,BNDVI,HubDist
"165003","4",119.986671,4.953710,0.017168,-0.003799,3075.508891,0.015241,0.035630,-0.048138,-0.007009,207.328970242795180
"165004","4",119.987121,4.953708,0.016917,-0.003359,2971.508891,0.014990,0.028493,-0.035183,-0.000941,3867.999587839049127
"165005","4",119.987572,4.953706,0.034582,-0.003741,2485.508891,0.032655,0.032718,-0.096154,-0.012422,3846.019848838946018
"165006","4",119.988022,4.953704,0.026064,-0.006690,2827.508891,0.024137,0.022732,-0.080241,-0.012907,3824.566254139461762
"165007","4",119.988473,4.953702,0.039419,-0.010174,2991.508891,0.037492,0.020799,-0.097891,-0.007345,3803.647705732955274
"165008","4",119.988923,4.953700,0.033902,-0.010290,1951.508891,0.031975,0.033836,-0.060065,0.003627,3783.273077985423697
"165009","4",119.989373,4.953698,0.036131,-0.006825,1753.508891,0.034204,0.034803,-0.078194,-0.002162,3763.451204148910620
"165435","4",119.984417,4.953268,0.012644,-0.000471,4585.508891,0.010717,0.027493,-0.042235,-0.007869,36.766856003234444
"165436","4",119.984867,4.953266,0.009852,0.004049,4424.508891,0.007925,0.029064,-0.043932,-0.011651,13.210756621028665
"165437","4",119.985318,4.953264,0.014683,-0.003859,4807.508891,0.012756,0.029746,-0.049861,-0.009703,53.712162287294504
"165438","4",119.985768,4.953262,0.013451,-0.003329,4511.508891,0.011524,0.030908,-0.054428,-0.013252,95.707488506779086
"165439","4",119.986219,4.953260,0.020346,-0.005010,4480.508891,0.018419,0.029901,-0.057878,-0.007928,142.917051515191531
"165440","4",119.986669,4.953258,0.027949,-0.005788,4150.508891,0.026022,0.017675,-0.083394,-0.010971,191.523029986160168
"165441","4",119.987119,4.953256,0.003236,0.003938,3068.508891,0.001309,0.033009,-0.028121,-0.011111,3912.790875954342482
"165442","4",119.987570,4.953254,0.033759,-0.006017,3428.508891,0.031832,0.025824,-0.093358,-0.010985,3891.064142621517476
"165443","4",119.988020,4.953252,0.028536,-0.004531,4046.508891,0.026609,0.020736,-0.093619,-0.015830,3869.860252455056980
"165444","4",119.988471,4.953250,0.030076,-0.007332,4046.508891,0.028149,0.024890,-0.081893,-0.009224,3849.187845174833456
"165445","4",119.988921,4.953248,0.029522,-0.003468,3540.508891,0.027595,0.017523,-0.070218,-0.003815,3829.055528140128899
"165446","4",119.989371,4.953246,0.016530,-0.001261,2978.508891,0.014603,0.019666,-0.024945,0.004320,3809.471863371417385
"165866","4",119.981713,4.952829,0.003816,0.014544,2828.508891,0.001889,0.026861,-0.068041,-0.029619,574.804230699711525
"165867","4",119.982163,4.952827,0.031680,0.003421,3503.508891,0.029753,0.018744,-0.132754,-0.029613,618.179152023540382
"165868","4",119.982613,4.952825,0.014279,-0.000155,4686.508891,0.012352,0.025140,-0.051586,-0.010713,662.481299152082443
"165869","4",119.983064,4.952823,0.003042,0.005279,4889.508891,0.001115,0.032044,-0.016893,-0.005429,193.006247063712550
"165870","4",119.983514,4.952821,-0.006908,0.007371,4716.508891,-0.008835,0.033743,-0.011258,-0.012656,145.267899049940183
"165871","4",119.983965,4.952819,-0.003392,0.008028,4942.508891,-0.005319,0.029030,-0.007146,-0.006985,99.722497374933610
"165872","4",119.984415,4.952817,-0.004350,0.006080,4595.508891,-0.006277,0.036205,-0.019266,-0.014175,61.456059424471917
"165873","4",119.984865,4.952815,0.000083,0.008445,4374.508891,-0.001844,0.030391,-0.037717,-0.018742,16.932576535166035
"165874","4",119.985316,4.952813,-0.012876,0.011285,4497.508891,-0.014803,0.036073,0.008232,-0.008568,39.638368443475983
"165875","4",119.985766,4.952811,-0.007190,0.005146,4572.508891,-0.009117,0.037814,-0.006039,-0.010317,88.578370778550521
"165876","4",119.986217,4.952809,-0.012797,0.008747,4740.508891,-0.014724,0.033331,0.018365,-0.003269,138.244307531352291
"165877","4",119.986667,4.952807,0.001191,0.001337,4965.508891,-0.000736,0.031620,0.000583,0.001490,188.061895408597138
"165878","4",119.987117,4.952805,0.014850,-0.003521,4026.508891,0.012923,0.028850,-0.041948,-0.006039,237.935885170356840
"165879","4",119.987568,4.952803,0.009088,0.001499,4238.508891,0.007161,0.025488,-0.033345,-0.007449,3936.226873319811148
"165880","4",119.988018,4.952800,-0.001723,0.005618,4668.508891,-0.003650,0.030404,-0.011750,-0.007708,3915.267559773077210
"165881","4",119.988469,4.952798,0.009367,0.001492,4601.508891,0.007440,0.029624,-0.042280,-0.011582,3894.836147175985843
"165882","4",119.988919,4.952796,0.001706,-0.001300,4372.508891,-0.000221,0.035257,-0.018829,-0.007807,3874.940985137485313
"165883","4",119.989369,4.952794,0.028840,-0.008784,4148.508891,0.026913,0.022249,-0.081114,-0.010504,3855.590374163195520
"165884","4",119.989820,4.952792,0.021444,-0.003311,3642.508891,0.019517,0.022176,-0.069767,-0.012404,3836.792552686048566
"166301","4",119.980810,4.952381,0.003836,0.009410,2890.508891,0.001909,0.046580,-0.039600,-0.017066,463.512556506245119
"166302","4",119.981260,4.952379,-0.000965,0.014627,2490.508891,-0.002892,0.033752,-0.046373,-0.024718,506.565443296272406
"166303","4",119.981711,4.952377,0.002947,0.015009,2958.508891,0.001020,0.027988,-0.066537,-0.029573,550.784591529327372
"166304","4",119.982161,4.952375,0.014543,0.001890,3791.508891,0.012616,0.031899,-0.085305,-0.026847,595.910427567420129
"166305","4",119.982611,4.952373,-0.013014,0.011610,4628.508891,-0.014941,0.034721,0.011156,-0.007219,167.952566627488551
"166306","4",119.983062,4.952371,-0.008721,0.008080,4462.508891,-0.010648,0.037596,-0.004459,-0.011037,148.516083602088202
"166307","4",119.983512,4.952369,0.003664,0.004408,4718.508891,0.001737,0.034889,-0.027441,-0.010149,144.556052900294702
"166308","4",119.983963,4.952367,0.024230,-0.005661,5162.508891,0.022303,0.031580,-0.083247,-0.016056,127.928611352521457
"166309","4",119.984413,4.952365,0.027476,-0.004918,5204.508891,0.025549,0.024347,-0.093750,-0.017013,87.574648059401227
"166310","4",119.984863,4.952363,0.016406,0.000461,4735.508891,0.014479,0.025919,-0.067813,-0.016331,62.955222482337582
"166311","4",119.985314,4.952361,0.023089,-0.003436,4605.508891,0.021162,0.029656,-0.085990,-0.018634,72.442022588349474
"166312","4",119.985764,4.952359,0.010910,0.001745,4826.508891,0.008983,0.028084,-0.048037,-0.012755,107.344178452382749
"166313","4",119.986215,4.952357,0.004008,0.000399,4491.508891,0.002081,0.033979,-0.028171,-0.010352,150.957384503903597
"166314","4",119.986665,4.952355,0.001414,0.001019,4609.508891,-0.000513,0.040036,-0.018947,-0.008403,197.595339945679967
"166315","4",119.987115,4.952353,0.008492,0.000926,4708.508891,0.006565,0.025947,-0.026510,-0.004614,245.540476924927958
"166316","4",119.987566,4.952351,0.001834,0.003885,4554.508891,-0.000093,0.026295,-0.015368,-0.005856,3981.504010594865576
"166317","4",119.988016,4.952349,0.009004,0.001105,5019.508891,0.007077,0.029159,-0.035942,-0.008844,3960.784279098672414
"166318","4",119.988467,4.952347,0.009514,-0.001441,5154.508891,0.007587,0.029945,-0.034102,-0.007426,3940.588852831906934
"166319","4",119.988917,4.952345,0.020741,-0.009290,5156.508891,0.018814,0.032696,-0.055181,-0.006262,3920.925832603259551
"166320","4",119.989367,4.952343,0.015857,-0.005842,5031.508891,0.013930,0.031359,-0.049985,-0.008851,3901.803266769191396
"166321","4",119.989818,4.952341,0.015914,-0.000161,4446.508891,0.013987,0.023090,-0.058401,-0.012299,3883.229138785402483
"166740","4",119.981709,4.951926,0.003284,0.014218,3253.508891,0.001357,0.029867,-0.061166,-0.026489,530.394120148583511
"166741","4",119.982159,4.951923,-0.038500,0.025063,3725.508891,-0.040427,0.043581,0.033833,-0.020225,577.116542060342681
"166742","4",119.982609,4.951921,0.003644,0.003618,4466.508891,0.001717,0.028580,-0.043703,-0.017908,127.762606765420443
"166743","4",119.983060,4.951919,0.017170,-0.003248,4669.508891,0.015243,0.033536,-0.072065,-0.018311,100.857577822662748
"166744","4",119.983510,4.951917,0.031029,-0.011144,5633.508891,0.029102,0.020363,-0.093343,-0.012770,94.929875227485311
"166745","4",119.983961,4.951915,0.014458,-0.004882,5867.508891,0.012531,0.038286,-0.046656,-0.008988,113.320643213825747
"166746","4",119.984411,4.951913,-0.000394,0.001575,5857.508891,-0.002321,0.034058,-0.000514,-0.000657,127.813985830841929
"166747","4",119.984861,4.951911,0.001646,0.001142,5238.508891,-0.000281,0.032392,-0.017728,-0.007235,112.385285867266774
"166748","4",119.985312,4.951909,0.003362,0.000873,5101.508891,0.001435,0.031461,-0.025663,-0.009594,117.961584969374869
"166749","4",119.985762,4.951907,-0.003547,0.004724,5030.508891,-0.005474,0.033039,-0.008243,-0.007727,142.091020083840306
"166750","4",119.986213,4.951905,0.012024,-0.001244,4647.508891,0.010097,0.031806,-0.051338,-0.013407,177.356177582142067
"166751","4",119.986663,4.951903,-0.005604,0.003402,4566.508891,-0.007531,0.036382,-0.006991,-0.009202,218.428470230615659
"166752","4",119.987113,4.951901,-0.001385,-0.000540,4707.508891,-0.003312,0.035780,-0.002531,-0.002689,262.597030630282688
"166753","4",119.987564,4.951899,-0.000625,0.007300,4709.508891,-0.002552,0.029204,-0.017132,-0.009224,4026.891695395019724
"166754","4",119.988014,4.951897,0.006039,-0.001189,5786.508891,0.004112,0.029105,-0.020489,-0.004204,4006.406681347600170
"166755","4",119.988464,4.951895,-0.000194,0.001546,5997.508891,-0.002121,0.032753,0.003681,0.001680,3986.442367398202350
"166756","4",119.988915,4.951893,0.000699,-0.001654,6072.508891,-0.001228,0.026194,0.007801,0.004657,3967.006614187849664
"166757","4",119.989365,4.951891,0.003513,-0.004112,5732.508891,0.001586,0.028623,-0.006573,0.000198,3948.107226950940458
"166758","4",119.989816,4.951889,0.012916,-0.004268,5339.508891,0.010989,0.025637,-0.043659,-0.008429,3929.751943561007465
"166759","4",119.990266,4.951887,0.005381,0.000669,4959.508891,0.003454,0.028968,-0.029198,-0.009207,3911.948422224492333
"167178","4",119.982157,4.951472,0.008819,0.010268,3537.508891,0.006892,0.032173,-0.090547,-0.035754,133.317290585317124
"167179","4",119.982607,4.951470,0.012265,-0.000973,4896.508891,0.010338,0.031549,-0.053824,-0.014157,97.102856183124757
"167180","4",119.983058,4.951468,0.015601,-0.002011,5421.508891,0.013674,0.031460,-0.055826,-0.011491,57.253251591153891
"167181","4",119.983508,4.951466,-0.002322,0.000904,5972.508891,-0.004249,0.037533,-0.004524,-0.004633,46.014865494742608
"167182","4",119.983959,4.951464,0.006819,-0.000554,6336.508891,0.004892,0.034528,-0.019723,-0.003130,77.118464952288278
"167183","4",119.984409,4.951462,0.007686,0.000000,5894.508891,0.005759,0.032968,-0.020936,-0.002860,121.522006480174909
"167184","4",119.984859,4.951460,0.005526,0.001112,5428.508891,0.003599,0.030415,-0.021842,-0.005396,162.135713132242131
"167185","4",119.985310,4.951458,-0.001677,0.004508,5132.508891,-0.003604,0.034236,-0.014089,-0.008832,166.049591772960781
"167186","4",119.985760,4.951455,0.006878,-0.001383,5085.508891,0.004951,0.029185,-0.033547,-0.009787,183.976584905073310
"167187","4",119.986211,4.951453,0.008147,0.001614,5052.508891,0.006220,0.028509,-0.027395,-0.005480,212.397584581787100
"167188","4",119.986661,4.951451,-0.001974,0.002277,4828.508891,-0.003901,0.028125,-0.013550,-0.008745,247.726686534469934
"167189","4",119.987111,4.951449,0.004064,0.001945,4921.508891,0.002137,0.029338,-0.012541,-0.002243,287.427746593717700
"167190","4",119.987562,4.951447,0.007013,0.000151,4831.508891,0.005086,0.028997,-0.025757,-0.005945,4072.386231484787913
"167191","4",119.988012,4.951445,-0.004870,0.001539,5706.508891,-0.006797,0.033864,0.001166,-0.004272,4052.131196913623171
"167192","4",119.988462,4.951443,-0.007560,0.006057,5864.508891,-0.009487,0.032205,0.000765,-0.007169,4032.393251892667195
"167193","4",119.988913,4.951441,-0.001029,0.002120,6022.508891,-0.002956,0.031190,0.001136,-0.000451,4013.180025241756539
"167194","4",119.989363,4.951439,0.003809,-0.002256,5964.508891,0.001882,0.033083,-0.004593,0.001481,3994.499087763674652
"167195","4",119.989814,4.951437,-0.002539,0.001099,5509.508891,-0.004466,0.032254,0.002946,-0.001031,3976.357940778302691
"167196","4",119.990264,4.951435,0.000000,0.000356,5250.508891,-0.001927,0.030115,-0.009576,-0.004819,3958.764004336177550
"167197","4",119.990714,4.951433,0.002999,-0.000365,5074.508891,0.001072,0.029690,-0.012169,-0.003127,3941.724605108649939
"167616","4",119.982605,4.951018,0.017576,-0.000587,5886.508891,0.015649,0.023406,-0.048623,-0.005703,86.747378121012900
"167617","4",119.983056,4.951016,0.013770,-0.001159,6414.508891,0.011843,0.025027,-0.033167,-0.002249,37.068565238190722
"167618","4",119.983506,4.951014,-0.016646,0.004687,6155.508891,-0.018573,0.039891,0.028371,-0.001715,14.612061350296472
"167619","4",119.983957,4.951012,0.011953,-0.006452,6540.508891,0.010026,0.031384,-0.041732,-0.008766,63.587757518827189
"167620","4",119.984407,4.951010,0.006258,-0.001557,5918.508891,0.004331,0.033171,-0.019216,-0.003422,113.418446948387853
"167621","4",119.984857,4.951008,0.013269,0.000000,5593.508891,0.011342,0.026653,-0.039361,-0.005936,163.323390274399799
"167622","4",119.985308,4.951006,0.003494,0.002821,5156.508891,0.001567,0.031414,-0.029696,-0.011331,214.989397028155622
"167623","4",119.985758,4.951004,0.009503,-0.002057,5259.508891,0.007576,0.032186,-0.039163,-0.009951,229.118637524804541
"167624","4",119.986208,4.951002,0.007465,-0.002987,5066.508891,0.005538,0.031355,-0.038265,-0.011489,252.508797003442766
"167625","4",119.986659,4.951000,0.000929,0.001929,4715.508891,-0.000998,0.034266,-0.024667,-0.011542,282.871812325054464
"167626","4",119.987109,4.950998,0.015745,-0.002781,5217.508891,0.013818,0.026849,-0.054373,-0.010901,318.217932959945244
"167627","4",119.987560,4.950996,0.011269,-0.003146,5670.508891,0.009342,0.027866,-0.027178,-0.002197,4117.984077464385336
"167628","4",119.988010,4.950994,-0.006472,0.002655,5400.508891,-0.008399,0.034128,0.012597,0.000070,4097.954407688857827
"167629","4",119.988460,4.950992,-0.004512,0.000946,5629.508891,-0.006439,0.032308,0.005647,-0.001621,4078.438215180377483
"167630","4",119.988911,4.950990,-0.003999,-0.001568,5548.508891,-0.005926,0.034168,0.008964,0.000613,4059.442904974072462
"167631","4",119.989361,4.950988,-0.002403,0.003498,5539.508891,-0.004330,0.027772,-0.006215,-0.005545,4040.975821813969560
"167632","4",119.989812,4.950985,-0.002701,0.003172,5656.508891,-0.004628,0.031943,-0.009666,-0.007593,4023.044239145196570
"167633","4",119.990262,4.950983,0.005653,0.000947,5621.508891,0.003726,0.026926,-0.030221,-0.009392,4005.655347821030318
"167634","4",119.990712,4.950981,0.001749,0.002178,5127.508891,-0.000178,0.028717,-0.016131,-0.006361,3988.816244521221051
"168055","4",119.983504,4.950562,0.019101,-0.010807,5821.508891,0.017174,0.044012,-0.072774,-0.017280,57.446624633129517
"168056","4",119.983954,4.950560,-0.013548,0.002951,6720.508891,-0.015475,0.038981,0.034782,0.004579,84.439350941777363
"168057","4",119.984405,4.950558,-0.001371,0.000653,5882.508891,-0.003298,0.035892,-0.012239,-0.007591,126.294671007875806
"168058","4",119.984855,4.950556,-0.006756,0.002375,5610.508891,-0.008683,0.033969,0.004222,-0.004604,172.514139602380254
"168059","4",119.985306,4.950554,-0.004124,0.005988,4944.508891,-0.006051,0.035581,-0.013318,-0.010948,220.368671026892457
