id,class,long,lat,NDVI,NDWI,NDCI,NDMI,PSRI,BNDVI,ONIR,ODVI,HubDist
"369767","2",120.007948,5.049490,-0.084474,0.186109,0.038200,0.036281,-0.149640,-0.143928,-404.491109,-0.086401,1699.52099133435
"376373","2",120.007223,5.048590,-0.100924,0.213022,0.038931,0.031993,-0.151825,-0.159132,-424.741109,-0.102851,1608.97798662547
"377695","2",120.007222,5.048409,-0.100298,0.214451,0.038751,0.034640,-0.170609,-0.166002,-416.491109,-0.102225,1589.18846418601
"371089","2",120.007947,5.049309,-0.074143,0.164202,0.037530,0.038848,-0.123823,-0.124701,-404.991109,-0.076070,1679.60985606626
"372411","2",120.007946,5.049129,-0.076569,0.173439,0.043873,0.037214,-0.120791,-0.125716,-420.241109,-0.078496,1659.70038696497
"376384","2",120.009205,5.048581,-0.091922,0.198554,0.037551,0.034534,-0.166905,-0.156340,-389.991109,-0.093849,1887.11530341513
"371093","2",120.008668,5.049306,-0.081119,0.180606,0.044479,0.031404,-0.135378,-0.136146,-469.991109,-0.083046,1983.94194948695
"371094","2",120.008848,5.049305,-0.085903,0.193047,0.039457,0.029233,-0.161362,-0.150445,-463.991109,-0.087830,1976.22841908176
"371095","2",120.009028,5.049304,-0.093329,0.208637,0.034940,0.032045,-0.166300,-0.158511,-446.991109,-0.095256,1968.68745911991
"393574","2",120.009915,5.046229,-0.090469,0.189976,0.040724,0.028044,-0.140271,-0.146508,-272.491109,-0.092396,1616.6303047948
"394894","2",120.009554,5.046050,-0.106945,0.216592,0.034939,0.024645,-0.158344,-0.167834,-304.741109,-0.108872,1614.55436143944
"394895","2",120.009734,5.046049,-0.088967,0.188528,0.041118,0.030198,-0.133641,-0.142118,-282.991109,-0.090894,1606.30983703906
"396217","2",120.009733,5.045868,-0.106080,0.218301,0.043979,0.029204,-0.150757,-0.164059,-299.741109,-0.108007,1588.08419508035
"396215","2",120.009373,5.045870,-0.111580,0.231612,0.034573,0.037689,-0.176155,-0.176865,-302.491109,-0.113507,1604.96692135556
"397534","2",120.008831,5.045692,-0.106415,0.225070,0.025953,0.037457,-0.185893,-0.176291,-290.241109,-0.108342,1274.7540148689
"390919","2",120.007934,5.046599,-0.093776,0.197148,0.034783,0.027369,-0.139701,-0.148588,-395.991109,-0.095703,1381.18310597351
"392242","2",120.008114,5.046418,-0.098535,0.205632,0.044309,0.029658,-0.146148,-0.155597,-421.491109,-0.100462,1359.38927152418
"384319","2",120.009740,5.047494,-0.093228,0.185266,0.033557,0.031077,-0.120994,-0.141461,-282.491109,-0.095155,1753.49190844804
"385639","2",120.009379,5.047315,-0.089024,0.189805,0.040301,0.039304,-0.131649,-0.140886,-281.491109,-0.090951,1750.43826236934
"385640","2",120.009559,5.047314,-0.095103,0.194293,0.032292,0.037966,-0.120237,-0.142127,-264.991109,-0.097030,1742.60755925376
"385641","2",120.009740,5.047314,-0.090964,0.183191,0.035074,0.033201,-0.104750,-0.133208,-273.991109,-0.092891,1734.97162542927
"385642","2",120.009920,5.047313,-0.084218,0.182357,0.034276,0.032808,-0.131682,-0.137433,-276.241109,-0.086145,1727.53304350492
"392247","2",120.009015,5.046414,-0.092144,0.192144,0.044558,0.019234,-0.120506,-0.140184,-304.991109,-0.094071,1354.18408465716
"389600","2",120.008476,5.046777,-0.098754,0.202940,0.033455,0.034483,-0.137955,-0.152135,-365.491109,-0.100681,1396.31911396481
"389601","2",120.008656,5.046777,-0.099792,0.204010,0.036913,0.025277,-0.140756,-0.154089,-365.991109,-0.101719,1395.30717729403
"379019","2",120.007582,5.048227,-0.108208,0.218209,0.036972,0.027006,-0.154909,-0.167605,-444.491109,-0.110135,1564.28848512548
"386964","2",120.009919,5.047132,-0.086495,0.176921,0.030073,0.033299,-0.127451,-0.137536,-270.491109,-0.088422,1708.9650453581
"390929","2",120.009736,5.046591,-0.088324,0.185185,0.039252,0.030075,-0.110256,-0.133410,-268.491109,-0.090251,1661.22892035111
"397528","2",120.007750,5.045697,-0.098579,0.207365,0.037493,0.034193,-0.147508,-0.155861,-300.991109,-0.100506,1284.18578153303
"386956","2",120.008477,5.047139,-0.093043,0.194886,0.034464,0.037573,-0.128904,-0.143679,-287.741109,-0.094970,1436.21511900977
"386957","2",120.008658,5.047138,-0.097053,0.201153,0.027405,0.040782,-0.140551,-0.150837,-285.741109,-0.098980,1435.23130553845
"410748","2",120.007742,5.043890,-0.081676,0.178539,0.034250,0.028979,-0.118984,-0.130351,-315.241109,-0.083603,1086.23719250781
"410749","2",120.007922,5.043889,-0.080264,0.175973,0.037037,0.025263,-0.112732,-0.126979,-314.491109,-0.082191,1083.46327371833
"410750","2",120.008102,5.043888,-0.075215,0.165279,0.032639,0.033013,-0.113258,-0.121901,-296.991109,-0.077142,1081.0515860673
"412070","2",120.007741,5.043709,-0.088015,0.177596,0.024622,0.028511,-0.127631,-0.138561,-314.491109,-0.089942,1066.48040576519
"412071","2",120.007921,5.043708,-0.084618,0.179196,0.031049,0.025160,-0.129741,-0.137293,-313.741109,-0.086545,1063.65496755796
"406778","2",120.007024,5.044435,-0.096149,0.197264,0.029436,0.037005,-0.154155,-0.155397,-293.741109,-0.098076,1159.46237051412
"408099","2",120.006843,5.044255,-0.098894,0.200327,0.031140,0.033099,-0.148766,-0.156654,-308.491109,-0.100821,1144.3066254876
"408100","2",120.007023,5.044255,-0.104935,0.209814,0.031840,0.030217,-0.143817,-0.160274,-322.241109,-0.106862,1139.92406072117
"408101","2",120.007203,5.044254,-0.097796,0.200550,0.036512,0.033428,-0.137652,-0.151533,-322.491109,-0.099723,1135.87610081233
"402809","2",120.006486,5.044980,-0.099575,0.214091,0.033568,0.036483,-0.153465,-0.158203,-372.741109,-0.101502,1231.40154808547
"402810","2",120.006666,5.044979,-0.096526,0.204462,0.042808,0.028566,-0.148148,-0.154052,-393.741109,-0.098453,1226.67928565312
"402811","2",120.006846,5.044978,-0.089432,0.184742,0.038245,0.030369,-0.130615,-0.141140,-346.241109,-0.091359,1222.26544128973
"402812","2",120.007026,5.044977,-0.084682,0.182197,0.041541,0.034847,-0.120770,-0.133765,-305.491109,-0.086609,1218.16336736743
"404131","2",120.006485,5.044799,-0.098504,0.199357,0.041607,0.021427,-0.149328,-0.157004,-404.991109,-0.100431,1212.03478123872
"404132","2",120.006665,5.044798,-0.090939,0.190576,0.045040,0.027514,-0.141365,-0.147308,-379.741109,-0.092866,1207.23676880937
"400165","2",120.006487,5.045341,-0.091736,0.194064,0.037504,0.036886,-0.137421,-0.145824,-376.991109,-0.093663,1270.19211580195
"397519","2",120.006128,5.045704,-0.087551,0.190779,0.041591,0.036117,-0.152190,-0.147331,-441.491109,-0.089478,1318.79899938164
"398841","2",120.006128,5.045524,-0.091002,0.194317,0.044279,0.032662,-0.149341,-0.149837,-435.741109,-0.092929,1299.5058941903
"398846","2",120.007029,5.045519,-0.080070,0.174328,0.037581,0.036997,-0.135024,-0.134159,-324.991109,-0.081997,1276.97961301977
"398847","2",120.007209,5.045519,-0.081960,0.179870,0.039667,0.033694,-0.141611,-0.138752,-306.741109,-0.083887,1273.3673977203
"404135","2",120.007205,5.044796,-0.091409,0.191801,0.036638,0.035658,-0.145985,-0.148577,-286.991109,-0.093336,1194.73351877088
"410752","2",120.008462,5.043887,-0.073087,0.158589,0.037577,0.031399,-0.113832,-0.120392,-293.241109,-0.075014,1077.32426875275
"380335","2",120.006500,5.048051,-0.095761,0.206227,0.033085,0.039410,-0.155211,-0.155654,-436.991109,-0.097688,1563.0021393845
"380336","2",120.006680,5.048051,-0.097879,0.211760,0.039069,0.033877,-0.162222,-0.160523,-451.741109,-0.099806,1559.28439741125
"381657","2",120.006499,5.047871,-0.091308,0.197409,0.039478,0.043470,-0.164190,-0.154335,-428.241109,-0.093235,1543.39909751696
"381658","2",120.006679,5.047870,-0.094291,0.204765,0.038104,0.035815,-0.177515,-0.162868,-448.741109,-0.096218,1539.63402422697
"381655","2",120.006138,5.047872,-0.091001,0.197823,0.039286,0.035718,-0.168405,-0.155507,-430.741109,-0.092928,1551.67386805097
"404126","2",120.005584,5.044803,-0.093035,0.201997,0.036970,0.038393,-0.160808,-0.155484,-456.991109,-0.094962,1240.58189092028
"373722","2",120.005963,5.048957,-0.107485,0.234233,0.032902,0.044694,-0.206949,-0.182812,-448.991109,-0.109412,1673.03353506971
"386942","2",120.005955,5.047150,-0.096001,0.208216,0.035343,0.037367,-0.172439,-0.162158,-435.991109,-0.097928,1478.54644136251
"392236","2",120.007033,5.046423,-0.087315,0.189526,0.034243,0.029008,-0.152448,-0.147998,-378.741109,-0.089242,1375.22262262464
"389588","2",120.006314,5.046787,-0.098548,0.203801,0.031325,0.029050,-0.151380,-0.157004,-455.991109,-0.100475,1430.3442693238
"392222","2",120.004510,5.046434,-0.079042,0.191826,0.028846,0.038103,-0.185320,-0.151296,-396.241109,-0.080969,1450.53369302948
"392223","2",120.004690,5.046434,-0.081435,0.185185,0.031221,0.039438,-0.179583,-0.151959,-444.491109,-0.083362,1443.4879070109
"400157","2",120.005046,5.045348,-0.095863,0.207879,0.035315,0.044511,-0.148500,-0.153322,-423.241109,-0.097790,1317.19160227982
"405449","2",120.005763,5.044622,-0.099461,0.203540,0.032511,0.032252,-0.154834,-0.158475,-459.241109,-0.101388,1215.28616532384
"434559","2",120.010429,5.040625,-0.107179,0.219377,0.038647,0.044949,-0.159390,-0.166438,-331.241109,-0.109106,750.365334131262
"434560","2",120.010610,5.040624,-0.121027,0.241119,0.030809,0.043096,-0.185058,-0.187295,-320.241109,-0.122954,749.186278834821
"434561","2",120.010790,5.040623,-0.122964,0.249457,0.020844,0.043556,-0.190606,-0.190680,-307.991109,-0.124891,748.538883828504
"435880","2",120.010248,5.040445,-0.115872,0.227117,0.038731,0.045682,-0.160300,-0.174415,-310.491109,-0.117799,732.193300706753
"435881","2",120.010429,5.040444,-0.110739,0.225832,0.034939,0.046049,-0.170007,-0.172736,-315.991109,-0.112666,730.438597917193
"435882","2",120.010609,5.040444,-0.112559,0.230122,0.031390,0.042534,-0.174180,-0.176206,-310.991109,-0.114486,729.227328019655
"435883","2",120.010789,5.040443,-0.118535,0.227850,0.026295,0.039022,-0.155676,-0.176102,-330.991109,-0.120462,728.56220119866
"437203","2",120.010428,5.040264,-0.106597,0.208707,0.033236,0.042899,-0.147497,-0.162183,-307.741109,-0.108524,710.514876799668
"437204","2",120.010608,5.040263,-0.099848,0.202045,0.033858,0.044366,-0.146030,-0.155467,-292.491109,-0.101775,709.269585912327
"437205","2",120.010788,5.040262,-0.111648,0.223833,0.022552,0.039548,-0.165768,-0.173034,-303.491109,-0.113575,708.585728989857
"443810","2",120.009883,5.039363,-0.105039,0.201084,0.036017,0.036204,-0.133733,-0.156509,-301.491109,-0.106966,619.158143240593
"445132","2",120.009882,5.039182,-0.101608,0.198593,0.039915,0.037842,-0.122016,-0.149095,-294.491109,-0.103535,599.531687484614
"445133","2",120.010062,5.039181,-0.101895,0.203267,0.035952,0.040649,-0.123829,-0.149773,-300.241109,-0.103822,596.049427073418
"446454","2",120.009881,5.039001,-0.099863,0.197235,0.038789,0.044629,-0.124248,-0.148036,-294.991109,-0.101790,579.929406751548
"446455","2",120.010062,5.039001,-0.100699,0.209411,0.043383,0.031787,-0.146558,-0.157562,-343.241109,-0.102626,576.328722042696
"447776","2",120.009881,5.038821,-0.093476,0.187746,0.038875,0.033989,-0.113360,-0.138856,-330.491109,-0.095403,560.353838116171
"449095","2",120.009339,5.038643,-0.082665,0.172970,0.039672,0.031207,-0.122449,-0.132439,-288.491109,-0.084592,495.239445424754
