id,class,long,lat,NDVI,NDWI,NDCI,PSRI,BNDVI,ONIR,ODVI,HubName,HubDist
"1474564","2",120.007768,5.049581,-0.088516,0.169415,0.141671,-0.006944,-0.091505,354.334259,-0.076296,"531856",1711.23669934821
"1474565","2",120.007858,5.049581,-0.085178,0.167023,0.144594,-0.014065,-0.091272,333.334259,-0.072958,"531856",1710.3279818545
"1474566","2",120.007948,5.049581,-0.090484,0.170524,0.140074,-0.021800,-0.099802,331.334259,-0.078264,"531856",1709.47716558716
"1477209","2",120.007858,5.049491,-0.093261,0.176761,0.148237,-0.028129,-0.105440,301.334259,-0.081041,"531856",1700.37678854887
"1477210","2",120.007948,5.049490,-0.089701,0.174947,0.137976,-0.056259,-0.113269,339.334259,-0.077481,"531856",1699.52099133435
"1477211","2",120.008038,5.049490,-0.041060,0.119757,0.139338,-0.014436,-0.047995,417.334259,-0.028840,"531856",1698.72351685557
"1479853","2",120.007857,5.049400,-0.094023,0.175680,0.137639,0.000680,-0.093719,318.334259,-0.081803,"531856",1690.42605573049
"1479854","2",120.007947,5.049400,-0.079313,0.163615,0.136436,-0.037390,-0.095748,362.334259,-0.067093,"531856",1689.565219111
"1503642","2",120.007223,5.048590,-0.143993,0.244468,0.127536,-0.029871,-0.155354,369.334259,-0.131773,"531856",1608.97798662547
"1506286","2",120.007222,5.048500,-0.126551,0.223387,0.152590,-0.018494,-0.134071,377.334259,-0.114331,"531856",1599.08263180693
"1506287","2",120.007313,5.048499,-0.132621,0.233759,0.155774,-0.033113,-0.146040,349.334259,-0.120401,"531856",1597.7353974222
"1508930","2",120.007222,5.048409,-0.117353,0.199774,0.159624,0.017173,-0.110132,383.334259,-0.105133,"531856",1589.18846418601
"1508931","2",120.007312,5.048409,-0.131759,0.224965,0.150653,-0.000662,-0.132029,366.334259,-0.119539,"531856",1587.83283570207
"1511574","2",120.007222,5.048319,-0.140531,0.231599,0.114286,-0.034731,-0.154052,394.334259,-0.128311,"531856",1579.29550607562
"1511575","2",120.007312,5.048319,-0.137921,0.232564,0.126857,-0.032005,-0.150323,416.334259,-0.125701,"531856",1577.93137922057
"1482498","2",120.007947,5.049309,-0.045835,0.118665,0.157866,-0.005438,-0.048382,395.334259,-0.033615,"531856",1679.60985606626
"1485141","2",120.007856,5.049220,-0.062685,0.141569,0.155451,-0.003968,-0.064527,397.334259,-0.050465,"531856",1670.52600447439
"1485142","2",120.007947,5.049219,-0.040700,0.113184,0.177565,-0.013228,-0.047110,395.334259,-0.028480,"531856",1669.65490951908
"1485143","2",120.008037,5.049219,0.019936,0.037329,0.193224,-0.004984,0.017319,555.334259,0.032156,"531856",1668.84316576446
"1487785","2",120.007856,5.049129,-0.077964,0.165598,0.139403,0.007937,-0.074386,400.334259,-0.065744,"531856",1660.57670298579
"1487786","2",120.007946,5.049129,-0.075538,0.163953,0.139403,-0.004630,-0.077614,407.334259,-0.063318,"531856",1659.70038696497
"1487787","2",120.008036,5.049128,-0.054455,0.134768,0.138959,0.026168,-0.042006,497.334259,-0.042235,"531856",1658.88377298252
"1490430","2",120.007946,5.049038,-0.105503,0.190646,0.138184,-0.045632,-0.124144,440.334259,-0.093283,"531856",1649.7462960777
"1490431","2",120.008036,5.049038,-0.094271,0.174586,0.140681,-0.017705,-0.101624,463.334259,-0.082051,"531856",1648.9247532602
"1482495","2",120.007677,5.049311,-0.090096,0.172574,0.129814,-0.019959,-0.098449,393.334259,-0.077876,"531856",1682.38430527101
"1485138","2",120.007586,5.049221,-0.071102,0.155147,0.151421,-0.024113,-0.081883,393.334259,-0.058882,"531856",1673.49443830403
"1485139","2",120.007676,5.049220,-0.076725,0.157647,0.154216,-0.014925,-0.083227,401.334259,-0.064505,"531856",1672.44587076865
"1498359","2",120.007674,5.048769,-0.107740,0.193846,0.146266,-0.009927,-0.111864,410.334259,-0.095520,"531856",1622.76323947038
"1495732","2",120.009206,5.048852,-0.068027,0.149308,0.153846,-0.024637,-0.079132,476.334259,-0.055807,"147075",1914.88854990656
"1495733","2",120.009296,5.048852,-0.070944,0.162868,0.132217,-0.027862,-0.083942,475.334259,-0.058724,"147075",1911.18355561256
